time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446400000	17.0159	5.11434	5.10341	0.813692	0.428112	lidar	11988.7	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1855	5.28519	5.06882	0.832932	0.429301	radar	3600.74	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3451	5.4667	5.05296	0.853903	0.428982	lidar	12453.4	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5009	5.63695	5.00237	0.873917	0.432587	radar	3713.15	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6939	5.76186	4.96005	0.863535	0.396882	lidar	13180.5	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8371	5.95861	4.92118	0.895978	0.418743	radar	4000.14	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0115	6.14845	4.93661	0.909325	0.409933	lidar	13887.9	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1608	6.35585	4.94856	0.933604	0.414273	radar	4209.1	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2829	6.59212	4.97171	0.972145	0.434129	lidar	14249.3	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4144	6.80568	4.96561	0.999976	0.443756	radar	4343.38	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5624	6.94392	4.89179	0.995808	0.415087	lidar	14735.8	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7112	7.15039	4.92507	1.00634	0.39769	radar	4549.97	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9077	7.28987	4.88707	0.985411	0.352466	lidar	15807.9	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.996	7.49375	4.81544	1.02538	0.388485	radar	4453.41	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0878	7.75443	4.86171	1.06965	0.41581	lidar	16020.6	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2084	7.96182	4.8625	1.08513	0.408166	radar	4811.19	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.288	8.1773	4.84207	1.1157	0.419623	lidar	16338.7	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.387	8.38822	4.8441	1.1323	0.409679	radar	4801.38	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4819	8.53721	4.74747	1.13681	0.393039	lidar	16748.1	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5729	8.74624	4.72358	1.15988	0.400679	radar	5085.62	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.734	8.92059	4.70309	1.1458	0.363449	lidar	18099.1	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8075	9.14214	4.67896	1.1789	0.387438	radar	5307.08	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9377	9.36699	4.71112	1.18486	0.372505	lidar	18728.9	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9836	9.5886	4.66009	1.22888	0.413537	radar	5371.28	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0711	9.82772	4.69151	1.24939	0.413108	lidar	19055.9	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1316	10.0759	4.73251	1.27581	0.414626	radar	5699.5	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.18	10.3473	4.7876	1.31208	0.430985	lidar	19495	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1966	10.5825	4.75241	1.35906	0.470429	radar	5658.28	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2551	10.8551	4.813	1.38551	0.472882	lidar	20236.7	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2841	11.1109	4.8415	1.41498	0.47621	radar	6013.8	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3183	11.3499	4.84098	1.43886	0.476291	lidar	20418.4	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2652	11.5975	4.79228	1.51434	0.557027	radar	5879.74	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3365	11.8388	4.80533	1.51918	0.532354	lidar	21384.4	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3618	12.073	4.82343	1.52569	0.493619	radar	6105.17	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3486	12.3597	4.88978	1.5632	0.50596	lidar	21445.4	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2993	12.5978	4.85261	1.62097	0.560147	radar	6265.69	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3241	12.8379	4.84987	1.63342	0.543889	lidar	22067.3	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3113	13.0691	4.82999	1.66029	0.547403	radar	6562.72	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2763	13.2831	4.79168	1.68999	0.550564	lidar	21861.7	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2376	13.5176	4.79233	1.71702	0.545955	radar	6535.86	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2168	13.7764	4.82367	1.73848	0.539287	lidar	22788	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1611	14.0037	4.80477	1.77506	0.556777	radar	6726.43	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1056	14.2591	4.83727	1.80439	0.557721	lidar	22945.9	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0337	14.4878	4.83298	1.83633	0.561052	radar	6761.44	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.925	14.7425	4.8799	1.87962	0.57594	lidar	22903.2	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8584	14.9604	4.86195	1.89741	0.554596	radar	6798.24	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8271	15.1787	4.82654	1.90734	0.536985	lidar	23729.5	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6953	15.3889	4.80044	1.98099	0.625534	radar	7249.7	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6657	15.578	4.72456	1.98905	0.603102	lidar	23961.7	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5719	15.783	4.70941	2.016	0.597302	radar	7111.89	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.468	15.9967	4.71328	2.04537	0.596719	lidar	23857.2	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3665	16.2047	4.71199	2.06217	0.569421	radar	7158.94	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2569	16.3825	4.66924	2.09205	0.57172	lidar	23822.8	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1391	16.5791	4.66223	2.12187	0.574859	radar	7371.64	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0085	16.7894	4.68515	2.15083	0.574634	lidar	24189.2	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8518	16.9818	4.69811	2.20846	0.632749	radar	7765.37	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6779	17.2172	4.7881	2.24303	0.633947	lidar	24335.9	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.575	17.4208	4.77073	2.23007	0.551599	radar	7445.61	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3609	17.6127	4.83186	2.27739	0.570266	lidar	23838.7	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2248	17.8037	4.82278	2.2818	0.523884	radar	7450.52	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0924	17.9895	4.80537	2.29873	0.514932	lidar	24627.7	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.917	18.1448	4.79047	2.34091	0.543855	radar	7485.34	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7855	18.2873	4.72155	2.36272	0.539726	lidar	24440.4	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6524	18.4682	4.70543	2.37017	0.512507	radar	7943.7	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4573	18.6497	4.75328	2.39829	0.514176	lidar	24432.1	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2769	18.7911	4.73774	2.43261	0.528812	radar	7567.86	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1154	18.9275	4.69906	2.45723	0.527629	lidar	24418.2	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9481	19.0978	4.70679	2.46931	0.506981	radar	8037.13	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.731	19.2135	4.70935	2.50963	0.521959	lidar	23890.8	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.541	19.3669	4.7272	2.53311	0.522245	radar	8054.34	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3155	19.5281	4.79153	2.55887	0.520773	lidar	24289.6	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0929	19.6118	4.77308	2.60862	0.55477	radar	7252.22	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8874	19.7558	4.79694	2.62896	0.546924	lidar	24291.5	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6989	19.8799	4.76763	2.63523	0.505563	radar	7596.54	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4677	20.0329	4.83188	2.65336	0.497175	lidar	24182.4	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2561	20.175	4.85433	2.66465	0.477596	radar	8142.09	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0674	20.3062	4.83896	2.67653	0.465892	lidar	24295.9	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8372	20.3893	4.83852	2.71298	0.484953	radar	7571.72	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6213	20.5083	4.8496	2.72985	0.477426	lidar	23958.3	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3846	20.596	4.86851	2.76493	0.498839	radar	7878.87	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1382	20.6703	4.88402	2.7968	0.505506	lidar	23271.1	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9009	20.7422	4.89358	2.83133	0.523567	radar	7814.15	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.627	20.8063	4.94276	2.86565	0.530834	lidar	22876.1	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3781	20.8381	4.95185	2.91721	0.576094	radar	7633.64	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1325	20.8796	4.95023	2.94978	0.579897	lidar	22683.7	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9	20.9381	4.9426	2.97184	0.571899	radar	7860.17	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.701	20.9817	4.88174	2.99428	0.567161	lidar	22822.6	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4476	21.0225	4.90624	3.02253	0.569322	radar	7807.85	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2013	21.0598	4.91571	3.04714	0.565186	lidar	22279.9	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9621	21.0798	4.91366	3.07825	0.573298	radar	7687.14	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.72	21.0507	4.89133	3.12134	0.588509	lidar	21433.9	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4723	21.0374	4.89197	3.15691	0.595888	radar	7334.3	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
